SIE-Su SIE-Au SIE-Wi SIE-Sp SOI T-Su T-au T-wi T-sp
0 341 478 348 0.96 -5.233333333 -14.98333333 -17.01666667 -6.7
189 300 600 341 1.33 -4.15 -15.08333333 -17.85 -7.25
26 270 337 230 0.06 -5.033333333 -16.51666667 -16.51666667 -7.683333333
81 256 348 337 -1.14 -4.3 -13.76666667 -15.86666667 -7.65
22 207 389 437 -0.29 -4.716666667 -14.3 -15.63333333 -7.916666667
111 215 307 437 -0.26 -5.116666667 -15.06666667 -16.15 -6.766666667
70 170 300 337 -0.43 -3.033333333 -14.36666667 -13.13333333 -6.766666667
37 200 207 370 0.07 -4.083333333 -11.93333333 -12.03333333 -7.05
0 159 433 419 -1.45 -4.933333333 -12.18333333 -17.95 -6.5
67 359 548 452 -0.95 -4.2 -13.2 -17.51666667 -8.516666667
144 233 307 289 -0.14 -3.816666667 -15.68333333 -16.51666667 -7.2
0 319 500 456 -0.02 -4.033333333 -15.78333333 -16.36666667 -7.35
0 289 574 267 -0.32 -2.95 -14.81666667 -15.63333333 -7.266666667
85 259 367 244 -1.48 -4.133333333 -14.1 -16.73333333 -6.833333333
96 326 496 374 0.74 -5.316666667 -15.11666667 -16.96666667 -6.95
41 274 311 270 0.62 -5.833333333 -16.8 -15.1 -6.75
56 344 485 407 -0.33 -4.933333333 -15.36666667 -15.28333333 -7
70 330 489 285 -1.01 -3.466666667 -12.93333333 -15.25 -6.333333333
41 278 289 311 -1.23 -3.983333333 -14.4 -15.35 -8.483333333
30 263 378 330 -1.11 -3.766666667 -16.5 -15.65 -7.7
48 356 556 404 -1.35 -6.05 -17.36666667 -16.78333333 -7.45
93 237 437 344 -0.33 -5.416666667 -14.01666667 -15.65 -7.983333333
11 319 515 378 0.56 -4.566666667 -15.3 -13.6 -6.783333333
59 285 448 337 -1.29 -4.7 -14.83333333 -19.18333333 -6.45
70 252 482 296 -0.23 -5 -15.23333333 -17.46666667 -6.5
45 322 511 328 0.79 -6.233333333 -16.83333333 -17.56666667 -7.55
52 348 478 291 0.72 -6.116666667 -16.36666667 -14.78333333 -6.928333333
67 299 445 380 -0.08 -4.683333333 -15.45 -16.15 -7.866666667
26 269 330 328 -0.72 -4.15 -13.41666667 -15.85 -7.433333333
